key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
space,2.7358,space,0.9377,space,0.6431,space,3.1943,left,4.7849,space,1.4348,right,0,3.4772,0,0,0,2,1,10000,19000,89,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,7.2532,0,1,1,1,1,25000,35000,150,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,2.7524,0,2,2,0,1,10000,109000,9,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,g,451.2738,,0,0,0,0,10,1,10000,0,21000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,1,1,11,1,10000,0,39000,29,3.1775
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,2,2,48,1,5000,0,105000,60,2.6171
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,3,3,72,1,25000,0,75000,31,3.17
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,4,4,30,1,5000,0,16000,4,3.4823
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,5,5,53,1,5000,0,104000,90,2.621
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,6,6,58,1,5000,0,106000,152,3.3358
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,7,7,6,1,10000,0,40000,10,2.6039
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,8,8,33,1,5000,0,104000,5,2.3177
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,9,9,74,1,25000,0,150000,29,3.5508
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,10,10,18,1,10000,0,110000,60,4.9837
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,11,11,76,1,25000,0,55000,60,3.7842
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,12,12,88,1,25000,0,125000,149,3.4933
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,13,13,52,1,5000,0,56000,89,5.1169
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,14,14,42,1,5000,0,56000,29,1.8237
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,15,15,19,1,10000,0,149000,61,1.9689
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,16,16,69,1,25000,0,150000,9,3.8764
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,17,17,32,1,5000,0,54000,5,2.8237
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,18,18,78,1,25000,0,125000,59,2.9357
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,19,19,35,1,5000,0,15000,11,3.5523
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,20,20,16,1,10000,0,39000,59,2.4761
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,21,21,84,1,25000,0,150000,89,6.5008
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,22,22,61,1,25000,0,55000,6,3.5559
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,23,23,7,1,10000,0,59000,9,3.2356
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,24,24,87,1,25000,0,75000,151,4.0991
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,25,25,29,1,10000,0,151000,151,4.9685
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,26,26,20,1,10000,0,20000,90,7.6697
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,27,27,43,1,5000,0,106000,29,4.607
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,28,28,54,1,5000,0,150000,90,7.535
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,29,29,1,1,10000,0,39000,6,2.4845
,,,,,,,,,,,,,,,,,,,,,,,002,600,2022-06-02_19h00.37.608,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,30,30,63,1,25000,0,125000,4,4.0836
